fen_id,type,name,description,frame_material,frame_thermal_break,glazing_layers,low_e,gas_fill,spacer_type,u_factor,shgc,vt,air_leakage,condensation_resistance,nfrc_class,calc_method,source_id,source_section,ma_compliant_base,ma_compliant_stretch,ma_compliant_specialized,note
FEN.WIN.SINGLE_WOOD,window,Single-pane wood frame (historic baseline),Pre-1970s historic; common in older MA housing stock,wood,n/a,1,none,air,none,1.04,0.69,0.69,0.5,20,LC,NFRC100,NFRC_CPD,Manufacturer category baseline,no,no,no,Baseline only — never code compliant. Auditor reference for vintage homes.
FEN.WIN.DBL_VINYL_AIR,window,"Double-pane vinyl, clear air-fill",Common pre-2000 replacement window,vinyl,n/a,2,none,air,aluminum,0.49,0.55,0.59,0.3,30,LC,NFRC100,NFRC_CPD,Manufacturer category baseline,no,no,no,Below current code U-factor. Common 1990s replacement.
FEN.WIN.DBL_VINYL_LOWE_AIR,window,"Double-pane vinyl, soft Low-E, air-fill",Standard new-construction window (low-end),vinyl,n/a,2,soft_coat,air,warm_edge,0.32,0.3,0.51,0.2,40,LC,NFRC100,NFRC_CPD,Manufacturer category typical,yes,no,no,IECC2021 R402.1.2 CZ5 max U=0.30 — borderline; verify NFRC label.
FEN.WIN.DBL_VINYL_LOWE_ARGON,window,"Double-pane vinyl, soft Low-E, argon-fill",Standard new-construction window (mid-range),vinyl,n/a,2,soft_coat,argon,warm_edge,0.28,0.3,0.51,0.2,45,LC,NFRC100,NFRC_CPD,Manufacturer category typical,yes,yes,no,Most-common MA new-construction window. Meets IECC and MA Stretch Code.
FEN.WIN.DBL_FIBERGLASS_LOWE_ARGON,window,"Double-pane fiberglass, soft Low-E, argon",Mid-high-performance window,fiberglass,yes,2,soft_coat,argon,warm_edge,0.25,0.27,0.49,0.1,55,LC,NFRC100,NFRC_CPD,Manufacturer category typical,yes,yes,yes,Lower air leakage and U-factor; meets MA Specialized fenestration max U=0.25.
FEN.WIN.DBL_WOOD_CLAD_LOWE_ARGON,window,"Double-pane wood-clad, soft Low-E, argon","Premium new construction (Andersen, Marvin, etc.)",wood_clad,yes,2,soft_coat,argon,warm_edge,0.27,0.28,0.5,0.15,50,LC,NFRC100,NFRC_CPD,Manufacturer category typical,yes,yes,no,"Wood-aluminum clad; depending on the specific NFRC product, can meet specialized."
FEN.WIN.DBL_ALUM_THERMAL_LOWE_ARGON,window,"Double-pane aluminum (thermal break), Low-E, argon",Aluminum for commercial-style residential,aluminum,yes,2,soft_coat,argon,warm_edge,0.4,0.32,0.55,0.15,40,LC,NFRC100,NFRC_CPD,Manufacturer category typical,no,no,no,Aluminum thermal-break frames typically do not meet IECC residential CZ5 U≤0.30. Avoid in MA new construction.
FEN.WIN.TRIPLE_VINYL_LOWE_ARGON,window,"Triple-pane vinyl, two soft Low-E surfaces, argon",High-performance vinyl,vinyl,n/a,3,soft_coat,argon,warm_edge,0.2,0.25,0.45,0.1,65,CW,NFRC100,NFRC_CPD,Manufacturer category typical,yes,yes,yes,Common Passive House baseline; meets MA Specialized.
FEN.WIN.TRIPLE_FIBERGLASS_LOWE_ARGON,window,"Triple-pane fiberglass, two Low-E, argon","Premium high-performance window (Inline, Alpen, Pella)",fiberglass,yes,3,soft_coat,argon,warm_edge,0.17,0.25,0.45,0.05,70,CW,NFRC100,NFRC_CPD,Manufacturer category typical,yes,yes,yes,Passive-House class window; very low air leakage. Premium price ($60–120/sq ft).
FEN.WIN.TRIPLE_WOOD_LOWE_KRYPTON,window,"Triple-pane wood, two Low-E, krypton fill",Top-of-line European-style,wood,yes,3,soft_coat,krypton,warm_edge,0.14,0.24,0.43,0.05,75,CW,NFRC100,NFRC_CPD,Manufacturer category typical,yes,yes,yes,Krypton cuts U below argon; ~30% premium over argon. Specify only where target is U-0.15 or lower.
FEN.WIN.TRIPLE_VINYL_SUNTUNED_S,window,"Triple-pane vinyl, spectrally-selective high-SHGC south-facing",Passive-solar glazing for south facade,vinyl,n/a,3,spectrally_selective,argon,warm_edge,0.22,0.5,0.55,0.1,60,CW,NFRC100,NFRC_CPD,Manufacturer special order,yes,yes,yes,High SHGC for south-facing passive-solar; specified per facade in PHIUS designs.
FEN.WIN.SKYLIGHT_VINYL_LOWE_ARGON,skylight,"Vinyl skylight, double-pane Low-E argon",Standard residential skylight,vinyl,n/a,2,soft_coat,argon,warm_edge,0.5,0.3,0.45,0.3,30,LC,NFRC100,NFRC_CPD,Manufacturer typical,yes,no,no,Skylight U-factor max IECC R402.1.2 CZ5 U=0.55. Most domes/curbs run higher than vertical windows.
FEN.WIN.SLIDER_FIBERGLASS_LOWE_ARGON,sliding_glass,"Fiberglass sliding patio door, Low-E argon",Standard sliding patio,fiberglass,yes,2,soft_coat,argon,warm_edge,0.3,0.28,0.5,0.15,45,LC,NFRC100,NFRC_CPD,Manufacturer typical,yes,yes,no,Slider doors fall in fenestration; meet U-0.30 for CZ5 base.
FEN.WIN.STORM_OVER_DBL,window,"Storm window added over double-pane vinyl, total assembly","Retrofit storm-window improvement (Indow, Larson)",vinyl,n/a,3,soft_coat,air,n/a,0.28,0.27,0.5,0.2,40,LC,NFRC100,NFRC_CPD,DOE WAP retrofit data,yes,no,no,Adding a storm window to existing double-pane improves U by ~30%. Common WAP measure.
